Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
183033,A Brief History of Neoliberalism,David Harvey,"Harvey, David",,"=""0199283273""","=""9780199283279""",0,4.13,Oxford University Press,Paperback,247,2007,2005,,2025/03/08,to-read,to-read (#19),to-read,,,,0,0
212161853,"Solidarity Cities: Confronting Racial Capitalism, Mapping Transformation (Diverse Economies and Livable Worlds)",Maliha Safri,"Safri, Maliha","Marianna Pavlovskaya, Stephen Healy, Craig Borowiak","=""1517916011""","=""9781517916015""",0,4.43,Univ Of Minnesota Press,Hardcover,296,2025,,,2025/03/08,to-read,to-read (#18),to-read,,,,0,0
118316,A Thousand Plateaus: Capitalism and Schizophrenia,Gilles Deleuze,"Deleuze, Gilles","Félix Guattari, Brian Massumi","=""0816614024""","=""9780816614028""",0,4.33,University of Minnesota Press,Paperback,632,1987,1980,,2025/03/08,to-read,to-read (#17),to-read,,,,0,0
36963931,An Anthropology of Nothing in Particular,Martin Demant Frederiksen,"Frederiksen, Martin Demant",,"=""1785356992""","=""9781785356995""",0,3.67,Zer0 Books,Paperback,136,2018,,,2025/03/08,to-read,to-read (#16),to-read,,,,0,0
10821772,Parallel Stories,Péter Nádas,"Nádas, Péter",Imre Goldstein,"=""0374229767""","=""9780374229764""",5,3.80,"Farrar, Straus and Giroux",Hardcover,1133,2011,2005,,2014/06/17,currently-reading,currently-reading (#4),currently-reading,,,,2,0
17416644,An Inquiry into Modes of Existence: An Anthropology of the Moderns,Bruno Latour,"Latour, Bruno",Catherine Porter,"=""0674724992""","=""9780674724990""",0,3.90,Harvard University Press,Hardcover,520,2013,2012,,2024/12/06,currently-reading,currently-reading (#3),currently-reading,,,,1,0
79917,Crowds and Power,Elias Canetti,"Canetti, Elias",Carol Stewart,"=""0374518203""","=""9780374518202""",0,4.07,"Farrar, Straus and Giroux ",Paperback,495,1984,1960,,2024/12/06,currently-reading,currently-reading (#2),currently-reading,,,,1,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.39,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2024/12/06,to-read,to-read (#15),to-read,,,,0,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",0,3.90,Bantam Classics,Mass Market Paperback,201,1972,1915,,2024/12/06,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",0,3.93,Scribner,Paperback,180,1925,1925,,2024/12/06,,,read,,,,1,0
12521,Visions of Gerard,Jack Kerouac,"Kerouac, Jack",,"=""0140144528""","=""9780140144529""",0,3.74,Penguin Publishing Group,Paperback,130,1991,1963,,2024/12/06,,,read,,,,1,0
10461,Desolation Angels,Jack Kerouac,"Kerouac, Jack",Joyce Johnson,"=""1573225053""","=""9781573225052""",0,3.93,Riverhead Books,Paperback,409,1995,1958,,2024/12/06,,,read,,,,1,0
330760,The Subterraneans,Jack Kerouac,"Kerouac, Jack",,"=""0802131867""","=""9780802131867""",0,3.65,Grove Weidenfeld,Paperback,128,1994,1958,,2024/12/06,,,read,,,,1,0
50140,Big Sur,Jack Kerouac,"Kerouac, Jack",Aram Saroyan,"=""0140168125""","=""9780140168129""",0,3.84,Penguin Books,Paperback,256,1992,1962,,2024/12/06,,,read,,,,1,0
